REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"03/09/2016 12:30:00",7365.19,31.62,TRADE
NSW1,"03/09/2016 13:00:00",7343.44,33.6,TRADE
NSW1,"03/09/2016 13:30:00",7214.98,33.29,TRADE
NSW1,"03/09/2016 14:00:00",7108.03,30.36,TRADE
NSW1,"03/09/2016 14:30:00",7047.56,31.26,TRADE
NSW1,"03/09/2016 15:00:00",7135.06,32.41,TRADE
NSW1,"03/09/2016 15:30:00",7131.54,34.47,TRADE
NSW1,"03/09/2016 16:00:00",7223.09,37.3,TRADE
NSW1,"03/09/2016 16:30:00",7377.72,35.09,TRADE
NSW1,"03/09/2016 17:00:00",7581.47,34.88,TRADE
NSW1,"03/09/2016 17:30:00",7813.81,40.36,TRADE
NSW1,"03/09/2016 18:00:00",8362.65,56.55,TRADE
NSW1,"03/09/2016 18:30:00",8755.22,137.48,TRADE
NSW1,"03/09/2016 19:00:00",8771.31,102.66,TRADE
NSW1,"03/09/2016 19:30:00",8589.55,63.1,TRADE
NSW1,"03/09/2016 20:00:00",8447.11,51.47,TRADE
NSW1,"03/09/2016 20:30:00",8267.63,49.95,TRADE
NSW1,"03/09/2016 21:00:00",8175.93,46.23,TRADE
NSW1,"03/09/2016 21:30:00",7998.12,46.86,TRADE
NSW1,"03/09/2016 22:00:00",7902.39,39.07,TRADE
NSW1,"03/09/2016 22:30:00",7890.42,41.79,TRADE
NSW1,"03/09/2016 23:00:00",7687.24,36.21,TRADE
NSW1,"03/09/2016 23:30:00",7620.21,35.5,TRADE
NSW1,"04/09/2016 00:00:00",7479.14,38.78,TRADE
NSW1,"04/09/2016 00:30:00",7289.05,38.44,TRADE
NSW1,"04/09/2016 01:00:00",7062.87,39.04,TRADE
NSW1,"04/09/2016 01:30:00",6834.63,38.7,TRADE
NSW1,"04/09/2016 02:00:00",6667.81,35.01,TRADE
NSW1,"04/09/2016 02:30:00",6386.4,33.43,TRADE
NSW1,"04/09/2016 03:00:00",6189.79,29.89,TRADE
NSW1,"04/09/2016 03:30:00",6098.65,33.56,TRADE
NSW1,"04/09/2016 04:00:00",6044.57,30.53,TRADE
NSW1,"04/09/2016 04:30:00",5973.31,29.62,TRADE
NSW1,"04/09/2016 05:00:00",5965.15,31.41,TRADE
NSW1,"04/09/2016 05:30:00",6066.68,32.83,TRADE
NSW1,"04/09/2016 06:00:00",6150.67,30.16,TRADE
NSW1,"04/09/2016 06:30:00",6340.11,32.99,TRADE
NSW1,"04/09/2016 07:00:00",6635.46,36.75,TRADE
NSW1,"04/09/2016 07:30:00",6911.62,38.01,TRADE
NSW1,"04/09/2016 08:00:00",7215.61,38.65,TRADE
NSW1,"04/09/2016 08:30:00",7463.53,47.85,TRADE
NSW1,"04/09/2016 09:00:00",7535.92,49.01,TRADE
NSW1,"04/09/2016 09:30:00",7608.04,44.85,TRADE
NSW1,"04/09/2016 10:00:00",7506.71,39.64,TRADE
NSW1,"04/09/2016 10:30:00",7418.12,36.56,TRADE
NSW1,"04/09/2016 11:00:00",7237.4,36.1,TRADE
NSW1,"04/09/2016 11:30:00",7038.52,31.95,TRADE
NSW1,"04/09/2016 12:00:00",6936.4,30.02,TRADE
NSW1,"04/09/2016 12:30:00",6842.37,29.89,TRADE
NSW1,"04/09/2016 13:00:00",6760.13,29.82,TRADE
NSW1,"04/09/2016 13:30:00",6636.33,29.91,TRADE
NSW1,"04/09/2016 14:00:00",6580.28,29.85,TRADE
NSW1,"04/09/2016 14:30:00",6580.12,30.01,TRADE
NSW1,"04/09/2016 15:00:00",6645.74,29.86,TRADE
NSW1,"04/09/2016 15:30:00",6691.11,33.89,TRADE
NSW1,"04/09/2016 16:00:00",6865.32,36.47,TRADE
NSW1,"04/09/2016 16:30:00",7102.33,37.87,TRADE
NSW1,"04/09/2016 17:00:00",7385.74,39.04,TRADE
NSW1,"04/09/2016 17:30:00",7655.93,44.22,TRADE
NSW1,"04/09/2016 18:00:00",8248.42,53.54,TRADE
NSW1,"04/09/2016 18:30:00",8779.51,78.92,TRADE
NSW1,"04/09/2016 19:00:00",8809.21,93.44,TRADE
NSW1,"04/09/2016 19:30:00",8735.72,65.18,TRADE
NSW1,"04/09/2016 20:00:00",8587.73,71.72,TRADE
NSW1,"04/09/2016 20:30:00",8569.49,71.38,TRADE
NSW1,"04/09/2016 21:00:00",8454.63,57.91,TRADE
NSW1,"04/09/2016 21:30:00",8275.06,65.2,TRADE
NSW1,"04/09/2016 22:00:00",8077.96,54.43,TRADE
NSW1,"04/09/2016 22:30:00",7982.07,52.37,TRADE
NSW1,"04/09/2016 23:00:00",7729.75,48.52,TRADE
NSW1,"04/09/2016 23:30:00",7561.7,38.46,TRADE
NSW1,"05/09/2016 00:00:00",7435.73,43.96,TRADE
NSW1,"05/09/2016 00:30:00",7249.77,44.84,TRADE
NSW1,"05/09/2016 01:00:00",7150.61,45.24,TRADE
NSW1,"05/09/2016 01:30:00",6992.9,46.59,TRADE
NSW1,"05/09/2016 02:00:00",6870.88,42.8,TRADE
NSW1,"05/09/2016 02:30:00",6582.22,34.31,TRADE
NSW1,"05/09/2016 03:00:00",6377.63,35.28,TRADE
NSW1,"05/09/2016 03:30:00",6262.33,37.58,TRADE
NSW1,"05/09/2016 04:00:00",6215.41,35.35,TRADE
NSW1,"05/09/2016 04:30:00",6286.58,51.05,TRADE
NSW1,"05/09/2016 05:00:00",6410.89,53.39,TRADE
NSW1,"05/09/2016 05:30:00",6765.48,51.26,TRADE
NSW1,"05/09/2016 06:00:00",7215.2,56.83,TRADE
NSW1,"05/09/2016 06:30:00",8013.5,65.55,TRADE
NSW1,"05/09/2016 07:00:00",8680.82,140.01,TRADE
NSW1,"05/09/2016 07:30:00",8976.44,77.23,TRADE
NSW1,"05/09/2016 08:00:00",9109.1,100.71,TRADE
NSW1,"05/09/2016 08:30:00",9088.61,94.98,TRADE
NSW1,"05/09/2016 09:00:00",8833,54.57,TRADE
NSW1,"05/09/2016 09:30:00",8644.07,45.23,TRADE
NSW1,"05/09/2016 10:00:00",8450.71,38.57,TRADE
NSW1,"05/09/2016 10:30:00",8314.65,36.69,TRADE
NSW1,"05/09/2016 11:00:00",8153.19,36.23,TRADE
NSW1,"05/09/2016 11:30:00",8003.53,37.03,TRADE
NSW1,"05/09/2016 12:00:00",7912.12,36.19,TRADE
NSW1,"05/09/2016 12:30:00",7782.76,35.67,TRADE
NSW1,"05/09/2016 13:00:00",7758.11,34.77,TRADE
NSW1,"05/09/2016 13:30:00",7741.37,34.48,TRADE
NSW1,"05/09/2016 14:00:00",7754.03,36.27,TRADE
NSW1,"05/09/2016 14:30:00",7745.25,35.84,TRADE
NSW1,"05/09/2016 15:00:00",7765.01,36.72,TRADE
NSW1,"05/09/2016 15:30:00",7828.21,36.78,TRADE
NSW1,"05/09/2016 16:00:00",7985.63,39.2,TRADE
NSW1,"05/09/2016 16:30:00",8110.24,33.82,TRADE
NSW1,"05/09/2016 17:00:00",8316.71,35.55,TRADE
NSW1,"05/09/2016 17:30:00",8682.07,43.39,TRADE
NSW1,"05/09/2016 18:00:00",9177.62,71.95,TRADE
NSW1,"05/09/2016 18:30:00",9635.77,185.28,TRADE
NSW1,"05/09/2016 19:00:00",9633.34,83.67,TRADE
NSW1,"05/09/2016 19:30:00",9432.14,56.54,TRADE
NSW1,"05/09/2016 20:00:00",9215.08,50.37,TRADE
NSW1,"05/09/2016 20:30:00",9083,48.66,TRADE
NSW1,"05/09/2016 21:00:00",8878.25,48.76,TRADE
NSW1,"05/09/2016 21:30:00",8677.45,44.9,TRADE
NSW1,"05/09/2016 22:00:00",8339.91,36.86,TRADE
NSW1,"05/09/2016 22:30:00",8381.66,52.94,TRADE
NSW1,"05/09/2016 23:00:00",8194.52,42.26,TRADE
NSW1,"05/09/2016 23:30:00",8092.56,37.79,TRADE
NSW1,"06/09/2016 00:00:00",7983.62,40.49,TRADE
NSW1,"06/09/2016 00:30:00",7849.4,37.68,TRADE
NSW1,"06/09/2016 01:00:00",7682.3,35.94,TRADE
NSW1,"06/09/2016 01:30:00",7501.34,38.11,TRADE
NSW1,"06/09/2016 02:00:00",7339.19,39.87,TRADE
NSW1,"06/09/2016 02:30:00",7011.74,37.78,TRADE
NSW1,"06/09/2016 03:00:00",6750.02,32.8,TRADE
NSW1,"06/09/2016 03:30:00",6543.65,30.33,TRADE
NSW1,"06/09/2016 04:00:00",6462.84,29.84,TRADE
NSW1,"06/09/2016 04:30:00",6475.19,30.88,TRADE
NSW1,"06/09/2016 05:00:00",6601.77,30.54,TRADE
NSW1,"06/09/2016 05:30:00",6904.35,28.87,TRADE
NSW1,"06/09/2016 06:00:00",7367.8,30.26,TRADE
NSW1,"06/09/2016 06:30:00",8119.8,44.39,TRADE
NSW1,"06/09/2016 07:00:00",8711.21,58.37,TRADE
NSW1,"06/09/2016 07:30:00",8988.31,40.62,TRADE
NSW1,"06/09/2016 08:00:00",8975.32,45.43,TRADE
NSW1,"06/09/2016 08:30:00",8913.14,39.21,TRADE
NSW1,"06/09/2016 09:00:00",8606.09,35.12,TRADE
NSW1,"06/09/2016 09:30:00",8435.51,34.68,TRADE
NSW1,"06/09/2016 10:00:00",8280.54,35.7,TRADE
NSW1,"06/09/2016 10:30:00",8156.6,34.11,TRADE
NSW1,"06/09/2016 11:00:00",8075.86,32.07,TRADE
NSW1,"06/09/2016 11:30:00",7873.73,30.97,TRADE
NSW1,"06/09/2016 12:00:00",7833.01,30.69,TRADE
NSW1,"06/09/2016 12:30:00",7761.31,31.16,TRADE
NSW1,"06/09/2016 13:00:00",7728.09,31.6,TRADE
NSW1,"06/09/2016 13:30:00",7668.04,30.78,TRADE
NSW1,"06/09/2016 14:00:00",7660.43,31.64,TRADE
NSW1,"06/09/2016 14:30:00",7735.92,30.78,TRADE
NSW1,"06/09/2016 15:00:00",7739.58,30.68,TRADE
NSW1,"06/09/2016 15:30:00",7844.03,31.2,TRADE
NSW1,"06/09/2016 16:00:00",7981.85,34.01,TRADE
NSW1,"06/09/2016 16:30:00",8030.26,31.34,TRADE
NSW1,"06/09/2016 17:00:00",8231.2,31.95,TRADE
NSW1,"06/09/2016 17:30:00",8480.08,37.28,TRADE
NSW1,"06/09/2016 18:00:00",8953.01,52.23,TRADE
NSW1,"06/09/2016 18:30:00",9385.75,67.67,TRADE
NSW1,"06/09/2016 19:00:00",9394.33,65.21,TRADE
NSW1,"06/09/2016 19:30:00",9188.59,45.44,TRADE
NSW1,"06/09/2016 20:00:00",9033.78,41.09,TRADE
NSW1,"06/09/2016 20:30:00",8854.66,36.09,TRADE
NSW1,"06/09/2016 21:00:00",8730.39,36.96,TRADE
NSW1,"06/09/2016 21:30:00",8464.99,34.87,TRADE
NSW1,"06/09/2016 22:00:00",8254.57,31.11,TRADE
NSW1,"06/09/2016 22:30:00",8212.26,38.01,TRADE
NSW1,"06/09/2016 23:00:00",7998.63,34.41,TRADE
NSW1,"06/09/2016 23:30:00",7986.28,37.57,TRADE
NSW1,"07/09/2016 00:00:00",7839.35,34.73,TRADE
NSW1,"07/09/2016 00:30:00",7758.82,30.68,TRADE
NSW1,"07/09/2016 01:00:00",7526.09,30.22,TRADE
NSW1,"07/09/2016 01:30:00",7414.97,31.01,TRADE
NSW1,"07/09/2016 02:00:00",7145.81,29.73,TRADE
NSW1,"07/09/2016 02:30:00",6786.46,29.23,TRADE
NSW1,"07/09/2016 03:00:00",6553.1,27.41,TRADE
NSW1,"07/09/2016 03:30:00",6377.51,27.14,TRADE
NSW1,"07/09/2016 04:00:00",6281.64,26.88,TRADE
NSW1,"07/09/2016 04:30:00",6288.4,27.72,TRADE
NSW1,"07/09/2016 05:00:00",6433.84,27.43,TRADE
NSW1,"07/09/2016 05:30:00",6700.12,24.86,TRADE
NSW1,"07/09/2016 06:00:00",7121.18,27.03,TRADE
NSW1,"07/09/2016 06:30:00",7852.28,56.4,TRADE
NSW1,"07/09/2016 07:00:00",8418.74,51.18,TRADE
NSW1,"07/09/2016 07:30:00",8591.89,34.76,TRADE
NSW1,"07/09/2016 08:00:00",8714.78,41.96,TRADE
NSW1,"07/09/2016 08:30:00",8672.58,39.69,TRADE
NSW1,"07/09/2016 09:00:00",8409.6,36.96,TRADE
NSW1,"07/09/2016 09:30:00",8324.82,34.35,TRADE
NSW1,"07/09/2016 10:00:00",8215.78,31.04,TRADE
NSW1,"07/09/2016 10:30:00",8161.13,31.42,TRADE
NSW1,"07/09/2016 11:00:00",8121.1,31.95,TRADE
NSW1,"07/09/2016 11:30:00",8028.02,32.6,TRADE
NSW1,"07/09/2016 12:00:00",7969.6,32.72,TRADE
NSW1,"07/09/2016 12:30:00",7960.21,31.61,TRADE
NSW1,"07/09/2016 13:00:00",7912.65,31.09,TRADE
NSW1,"07/09/2016 13:30:00",7861.82,30.09,TRADE
NSW1,"07/09/2016 14:00:00",7858.56,29.96,TRADE
NSW1,"07/09/2016 14:30:00",7824.5,29.82,TRADE
NSW1,"07/09/2016 15:00:00",7829.73,29.27,TRADE
NSW1,"07/09/2016 15:30:00",7842.81,29.96,TRADE
NSW1,"07/09/2016 16:00:00",7968.83,29.69,TRADE
NSW1,"07/09/2016 16:30:00",8073.79,30.1,TRADE
NSW1,"07/09/2016 17:00:00",8226.81,29.55,TRADE
NSW1,"07/09/2016 17:30:00",8419.83,29.96,TRADE
NSW1,"07/09/2016 18:00:00",8802.84,31.39,TRADE
NSW1,"07/09/2016 18:30:00",9140.54,33.17,TRADE
NSW1,"07/09/2016 19:00:00",9135.01,33.05,TRADE
NSW1,"07/09/2016 19:30:00",8951.48,29.41,TRADE
NSW1,"07/09/2016 20:00:00",8723.48,28.53,TRADE
NSW1,"07/09/2016 20:30:00",8546.57,26.91,TRADE
NSW1,"07/09/2016 21:00:00",8391.95,27.34,TRADE
NSW1,"07/09/2016 21:30:00",8166.03,27.46,TRADE
NSW1,"07/09/2016 22:00:00",7949.13,27.1,TRADE
NSW1,"07/09/2016 22:30:00",8060.22,45.14,TRADE
NSW1,"07/09/2016 23:00:00",7834.81,28.44,TRADE
NSW1,"07/09/2016 23:30:00",7821.8,29.31,TRADE
NSW1,"08/09/2016 00:00:00",7720.03,28.65,TRADE
NSW1,"08/09/2016 00:30:00",7570.48,30.26,TRADE
NSW1,"08/09/2016 01:00:00",7398.61,35.76,TRADE
NSW1,"08/09/2016 01:30:00",7235.88,38.61,TRADE
NSW1,"08/09/2016 02:00:00",7034.16,38.31,TRADE
NSW1,"08/09/2016 02:30:00",6698.24,36.96,TRADE
NSW1,"08/09/2016 03:00:00",6470.83,35.37,TRADE
NSW1,"08/09/2016 03:30:00",6297.43,30.8,TRADE
NSW1,"08/09/2016 04:00:00",6238.69,30.49,TRADE
NSW1,"08/09/2016 04:30:00",6228.34,30.11,TRADE
NSW1,"08/09/2016 05:00:00",6341.72,32.76,TRADE
NSW1,"08/09/2016 05:30:00",6654.38,41.72,TRADE
NSW1,"08/09/2016 06:00:00",7012.22,36.74,TRADE
NSW1,"08/09/2016 06:30:00",7624.37,33.48,TRADE
NSW1,"08/09/2016 07:00:00",8137.89,34.27,TRADE
NSW1,"08/09/2016 07:30:00",8363.44,27.51,TRADE
NSW1,"08/09/2016 08:00:00",8553.71,28.12,TRADE
NSW1,"08/09/2016 08:30:00",8553.07,27.41,TRADE
NSW1,"08/09/2016 09:00:00",8331.63,26.82,TRADE
NSW1,"08/09/2016 09:30:00",8389.53,29.96,TRADE
NSW1,"08/09/2016 10:00:00",8326.03,29.96,TRADE
NSW1,"08/09/2016 10:30:00",8250.52,30.1,TRADE
NSW1,"08/09/2016 11:00:00",8139.53,29.96,TRADE
NSW1,"08/09/2016 11:30:00",7969.62,29.96,TRADE
NSW1,"08/09/2016 12:00:00",7976.93,30.1,TRADE
NSW1,"08/09/2016 12:30:00",7994.69,30.23,TRADE
NSW1,"08/09/2016 13:00:00",7940.54,29.96,TRADE
NSW1,"08/09/2016 13:30:00",7923.71,29.14,TRADE
NSW1,"08/09/2016 14:00:00",7948.54,29.96,TRADE
NSW1,"08/09/2016 14:30:00",7963.64,29.96,TRADE
NSW1,"08/09/2016 15:00:00",7906.59,29.96,TRADE
NSW1,"08/09/2016 15:30:00",7950,29.41,TRADE
NSW1,"08/09/2016 16:00:00",8082.55,30.97,TRADE
NSW1,"08/09/2016 16:30:00",8140.07,30.71,TRADE
NSW1,"08/09/2016 17:00:00",8291.49,29.96,TRADE
NSW1,"08/09/2016 17:30:00",8517.72,30.13,TRADE
NSW1,"08/09/2016 18:00:00",8915.46,39.65,TRADE
NSW1,"08/09/2016 18:30:00",9266.25,38.74,TRADE
NSW1,"08/09/2016 19:00:00",9283.35,36.96,TRADE
NSW1,"08/09/2016 19:30:00",9065.71,35.93,TRADE
NSW1,"08/09/2016 20:00:00",8863.9,36.47,TRADE
NSW1,"08/09/2016 20:30:00",8690.95,34.1,TRADE
NSW1,"08/09/2016 21:00:00",8510.2,31.29,TRADE
NSW1,"08/09/2016 21:30:00",8254.08,30.37,TRADE
NSW1,"08/09/2016 22:00:00",7959.26,29.96,TRADE
NSW1,"08/09/2016 22:30:00",8007.52,48.77,TRADE
NSW1,"08/09/2016 23:00:00",7819.41,30.78,TRADE
NSW1,"08/09/2016 23:30:00",7801.43,32.7,TRADE
NSW1,"09/09/2016 00:00:00",7704.93,31.27,TRADE
NSW1,"09/09/2016 00:30:00",7489.74,31.55,TRADE
NSW1,"09/09/2016 01:00:00",7312.88,30.86,TRADE
NSW1,"09/09/2016 01:30:00",7186.19,29.81,TRADE
NSW1,"09/09/2016 02:00:00",6992.72,29.98,TRADE
NSW1,"09/09/2016 02:30:00",6652.81,27.88,TRADE
NSW1,"09/09/2016 03:00:00",6388.76,27.41,TRADE
NSW1,"09/09/2016 03:30:00",6256.61,27.15,TRADE
NSW1,"09/09/2016 04:00:00",6159.65,23.12,TRADE
NSW1,"09/09/2016 04:30:00",6187.07,25.63,TRADE
NSW1,"09/09/2016 05:00:00",6257.52,26.38,TRADE
NSW1,"09/09/2016 05:30:00",6559.16,28.42,TRADE
NSW1,"09/09/2016 06:00:00",6906.45,22.3,TRADE
NSW1,"09/09/2016 06:30:00",7502.56,29.38,TRADE
NSW1,"09/09/2016 07:00:00",8037.77,29.99,TRADE
NSW1,"09/09/2016 07:30:00",8200.03,28.84,TRADE
NSW1,"09/09/2016 08:00:00",8453.22,35.73,TRADE
NSW1,"09/09/2016 08:30:00",8400.52,34.52,TRADE
NSW1,"09/09/2016 09:00:00",8258.07,30.78,TRADE
NSW1,"09/09/2016 09:30:00",8191.56,30.1,TRADE
NSW1,"09/09/2016 10:00:00",8149.13,30.1,TRADE
NSW1,"09/09/2016 10:30:00",8190.86,30.67,TRADE
NSW1,"09/09/2016 11:00:00",8137.46,29.17,TRADE
NSW1,"09/09/2016 11:30:00",8084.81,29.69,TRADE
NSW1,"09/09/2016 12:00:00",8058.31,30.83,TRADE
NSW1,"09/09/2016 12:30:00",7966.54,30.37,TRADE
NSW1,"09/09/2016 13:00:00",7910.99,30.51,TRADE
NSW1,"09/09/2016 13:30:00",7912.32,30.92,TRADE
NSW1,"09/09/2016 14:00:00",7956.75,30.37,TRADE
NSW1,"09/09/2016 14:30:00",7971.73,30.82,TRADE
NSW1,"09/09/2016 15:00:00",8028.32,31.76,TRADE
NSW1,"09/09/2016 15:30:00",8083.96,31.3,TRADE
NSW1,"09/09/2016 16:00:00",8234.81,34.54,TRADE
NSW1,"09/09/2016 16:30:00",8314.53,30.84,TRADE
NSW1,"09/09/2016 17:00:00",8349.12,34.79,TRADE
NSW1,"09/09/2016 17:30:00",8520.64,36.96,TRADE
NSW1,"09/09/2016 18:00:00",8786.06,41.49,TRADE
NSW1,"09/09/2016 18:30:00",8910.77,39.45,TRADE
NSW1,"09/09/2016 19:00:00",8812.96,35.13,TRADE
